Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
AHSGY,20.5,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 20.29 (%1.0 altta),17.24-19.48 (%5.0 altta),24.19-26.14 (%18.0 üstte),17.57,52.66,41.72,-0.29
ASELS,354.5,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 305.97 (%13.7 altta) | EMA5 Direnç: 355.29 (%0.2 üstte),171.28-177.57 (%49.9 altta),-,15.86,43.28,30.62,-0.51
BIMAS,400.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 389.17 (%2.7 altta),236.44-244.88 (%38.8 altta),-,21.02,62.29,89.98,0.86
ENJSA,106.8,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA100 Destek: 106.42 (%0.4 altta) | EMA55 Direnç: 107.23 (%0.4 üstte),-,-,11.07,54.26,81.87,0.0
ENKAI,89.7,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 86.40 (%3.7 altta) | EMA5 Direnç: 90.36 (%0.7 üstte),-,110.50-113.50 (%23.2 üstte),3.82,43.28,71.56,-0.48
GLRMK,159.8,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 161.03 (%0.8 üstte),150.00-161.40 (fiyat bandın içinde!),195.30-205.40 (%22.2 üstte),-9.9,38.69,83.04,-0.8
IZENR,9.35,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 8.98 (%3.9 altta) | EMA21 Direnç: 9.42 (%0.8 üstte),-,-,-4.25,46.77,61.58,-0.68
MGROS,649.5,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 646.89 (%0.4 altta) | EMA55 Direnç: 653.55 (%0.6 üstte),415.39-429.68 (%33.8 altta),693.50-706.00 (%6.8 üstte),9.46,49.64,73.95,-0.5
MIATK,32.64,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 33.38 (%2.3 üstte),-,-,-19.46,33.28,78.96,-0.63
MPARK,428.5,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 426.94 (%0.4 altta) | EMA100 Direnç: 435.16 (%1.6 üstte),-,-,4.45,49.42,81.88,-0.29
OBAMS,5.32,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 5.31 (%0.2 altta) | EMA21 Direnç: 5.84 (%9.9 üstte),-,8.39-8.75 (%57.7 üstte),-29.02,28.08,96.34,-0.85
OYAKC,20.26,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 20.19 (%0.3 altta) | EMA21 Direnç: 20.53 (%1.3 üstte),-,-,-9.6,43.77,74.01,-0.66
TCELL,109.6,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 109.53 (%0.1 altta),-,119.50-123.40 (%9.0 üstte),4.39,51.13,71.28,0.39
ULKER,97.55,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 97.67 (%0.1 üstte),-,-,-10.34,36.34,84.33,-0.59
